air_temp,ghi,period_end,period
14,0,2023-01-13T00:00:00+00:00,PT60M
13,0,2023-01-13T01:00:00+00:00,PT60M
12,0,2023-01-13T02:00:00+00:00,PT60M
12,0,2023-01-13T03:00:00+00:00,PT60M
13,17,2023-01-13T04:00:00+00:00,PT60M
14,194,2023-01-13T05:00:00+00:00,PT60M
18,443,2023-01-13T06:00:00+00:00,PT60M
21,685,2023-01-13T07:00:00+00:00,PT60M
22,891,2023-01-13T08:00:00+00:00,PT60M
23,1045,2023-01-13T09:00:00+00:00,PT60M
24,1133,2023-01-13T10:00:00+00:00,PT60M
26,1149,2023-01-13T11:00:00+00:00,PT60M
26,1094,2023-01-13T12:00:00+00:00,PT60M
27,971,2023-01-13T13:00:00+00:00,PT60M
28,789,2023-01-13T14:00:00+00:00,PT60M
28,565,2023-01-13T15:00:00+00:00,PT60M
27,309,2023-01-13T16:00:00+00:00,PT60M
26,88,2023-01-13T17:00:00+00:00,PT60M
23,0,2023-01-13T18:00:00+00:00,PT60M
21,0,2023-01-13T19:00:00+00:00,PT60M
20,0,2023-01-13T20:00:00+00:00,PT60M
18,0,2023-01-13T21:00:00+00:00,PT60M
17,0,2023-01-13T22:00:00+00:00,PT60M
16,0,2023-01-13T23:00:00+00:00,PT60M
16,0,2023-01-14T00:00:00+00:00,PT60M
16,0,2023-01-14T01:00:00+00:00,PT60M
16,0,2023-01-14T02:00:00+00:00,PT60M
15,0,2023-01-14T03:00:00+00:00,PT60M
15,15,2023-01-14T04:00:00+00:00,PT60M
16,186,2023-01-14T05:00:00+00:00,PT60M
19,430,2023-01-14T06:00:00+00:00,PT60M
21,668,2023-01-14T07:00:00+00:00,PT60M
23,872,2023-01-14T08:00:00+00:00,PT60M
24,1024,2023-01-14T09:00:00+00:00,PT60M
26,1114,2023-01-14T10:00:00+00:00,PT60M
27,1131,2023-01-14T11:00:00+00:00,PT60M
28,1076,2023-01-14T12:00:00+00:00,PT60M
29,954,2023-01-14T13:00:00+00:00,PT60M
29,774,2023-01-14T14:00:00+00:00,PT60M
29,552,2023-01-14T15:00:00+00:00,PT60M
28,299,2023-01-14T16:00:00+00:00,PT60M
26,83,2023-01-14T17:00:00+00:00,PT60M
24,0,2023-01-14T18:00:00+00:00,PT60M
22,0,2023-01-14T19:00:00+00:00,PT60M
21,0,2023-01-14T20:00:00+00:00,PT60M
20,0,2023-01-14T21:00:00+00:00,PT60M
19,0,2023-01-14T22:00:00+00:00,PT60M
18,0,2023-01-14T23:00:00+00:00,PT60M
17,0,2023-01-15T00:00:00+00:00,PT60M
17,0,2023-01-15T01:00:00+00:00,PT60M
17,0,2023-01-15T02:00:00+00:00,PT60M
16,0,2023-01-15T03:00:00+00:00,PT60M
16,14,2023-01-15T04:00:00+00:00,PT60M
18,179,2023-01-15T05:00:00+00:00,PT60M
20,422,2023-01-15T06:00:00+00:00,PT60M
22,662,2023-01-15T07:00:00+00:00,PT60M
23,867,2023-01-15T08:00:00+00:00,PT60M
24,1021,2023-01-15T09:00:00+00:00,PT60M
26,1112,2023-01-15T10:00:00+00:00,PT60M
27,1132,2023-01-15T11:00:00+00:00,PT60M
28,1078,2023-01-15T12:00:00+00:00,PT60M
28,957,2023-01-15T13:00:00+00:00,PT60M
29,778,2023-01-15T14:00:00+00:00,PT60M
29,555,2023-01-15T15:00:00+00:00,PT60M
28,306,2023-01-15T16:00:00+00:00,PT60M
25,86,2023-01-15T17:00:00+00:00,PT60M
23,0,2023-01-15T18:00:00+00:00,PT60M
21,0,2023-01-15T19:00:00+00:00,PT60M
21,0,2023-01-15T20:00:00+00:00,PT60M
20,0,2023-01-15T21:00:00+00:00,PT60M
19,0,2023-01-15T22:00:00+00:00,PT60M
18,0,2023-01-15T23:00:00+00:00,PT60M
18,0,2023-01-16T00:00:00+00:00,PT60M
17,0,2023-01-16T01:00:00+00:00,PT60M
16,0,2023-01-16T02:00:00+00:00,PT60M
16,0,2023-01-16T03:00:00+00:00,PT60M
16,13,2023-01-16T04:00:00+00:00,PT60M
18,177,2023-01-16T05:00:00+00:00,PT60M
21,419,2023-01-16T06:00:00+00:00,PT60M
22,607,2023-01-16T07:00:00+00:00,PT60M
23,851,2023-01-16T08:00:00+00:00,PT60M
24,1018,2023-01-16T09:00:00+00:00,PT60M
26,1109,2023-01-16T10:00:00+00:00,PT60M
27,1127,2023-01-16T11:00:00+00:00,PT60M
28,1074,2023-01-16T12:00:00+00:00,PT60M
28,955,2023-01-16T13:00:00+00:00,PT60M
29,776,2023-01-16T14:00:00+00:00,PT60M
28,544,2023-01-16T15:00:00+00:00,PT60M
27,314,2023-01-16T16:00:00+00:00,PT60M
26,87,2023-01-16T17:00:00+00:00,PT60M
23,0,2023-01-16T18:00:00+00:00,PT60M
22,0,2023-01-16T19:00:00+00:00,PT60M
22,0,2023-01-16T20:00:00+00:00,PT60M
20,0,2023-01-16T21:00:00+00:00,PT60M
19,0,2023-01-16T22:00:00+00:00,PT60M
18,0,2023-01-16T23:00:00+00:00,PT60M
18,0,2023-01-17T00:00:00+00:00,PT60M
17,0,2023-01-17T01:00:00+00:00,PT60M
16,0,2023-01-17T02:00:00+00:00,PT60M
16,0,2023-01-17T03:00:00+00:00,PT60M
16,11,2023-01-17T04:00:00+00:00,PT60M
18,125,2023-01-17T05:00:00+00:00,PT60M
20,369,2023-01-17T06:00:00+00:00,PT60M
22,609,2023-01-17T07:00:00+00:00,PT60M
23,739,2023-01-17T08:00:00+00:00,PT60M
24,957,2023-01-17T09:00:00+00:00,PT60M
26,1096,2023-01-17T10:00:00+00:00,PT60M
27,994,2023-01-17T11:00:00+00:00,PT60M
27,949,2023-01-17T12:00:00+00:00,PT60M
28,859,2023-01-17T13:00:00+00:00,PT60M
28,693,2023-01-17T14:00:00+00:00,PT60M
28,323,2023-01-17T15:00:00+00:00,PT60M
27,163,2023-01-17T16:00:00+00:00,PT60M
26,36,2023-01-17T17:00:00+00:00,PT60M
24,0,2023-01-17T18:00:00+00:00,PT60M
22,0,2023-01-17T19:00:00+00:00,PT60M
21,0,2023-01-17T20:00:00+00:00,PT60M
21,0,2023-01-17T21:00:00+00:00,PT60M
20,0,2023-01-17T22:00:00+00:00,PT60M
19,0,2023-01-17T23:00:00+00:00,PT60M
18,0,2023-01-18T00:00:00+00:00,PT60M
18,0,2023-01-18T01:00:00+00:00,PT60M
17,0,2023-01-18T02:00:00+00:00,PT60M
17,0,2023-01-18T03:00:00+00:00,PT60M
17,9,2023-01-18T04:00:00+00:00,PT60M
19,117,2023-01-18T05:00:00+00:00,PT60M
20,323,2023-01-18T06:00:00+00:00,PT60M
22,628,2023-01-18T07:00:00+00:00,PT60M
23,821,2023-01-18T08:00:00+00:00,PT60M
24,877,2023-01-18T09:00:00+00:00,PT60M
25,916,2023-01-18T10:00:00+00:00,PT60M
27,702,2023-01-18T11:00:00+00:00,PT60M
27,678,2023-01-18T12:00:00+00:00,PT60M
28,813,2023-01-18T13:00:00+00:00,PT60M
28,740,2023-01-18T14:00:00+00:00,PT60M
27,542,2023-01-18T15:00:00+00:00,PT60M
27,269,2023-01-18T16:00:00+00:00,PT60M
26,62,2023-01-18T17:00:00+00:00,PT60M
24,0,2023-01-18T18:00:00+00:00,PT60M
22,0,2023-01-18T19:00:00+00:00,PT60M
21,0,2023-01-18T20:00:00+00:00,PT60M
20,0,2023-01-18T21:00:00+00:00,PT60M
20,0,2023-01-18T22:00:00+00:00,PT60M
19,0,2023-01-18T23:00:00+00:00,PT60M
18,0,2023-01-19T00:00:00+00:00,PT60M
18,0,2023-01-19T01:00:00+00:00,PT60M
17,0,2023-01-19T02:00:00+00:00,PT60M
17,0,2023-01-19T03:00:00+00:00,PT60M
18,7,2023-01-19T04:00:00+00:00,PT60M
19,94,2023-01-19T05:00:00+00:00,PT60M
21,295,2023-01-19T06:00:00+00:00,PT60M
22,568,2023-01-19T07:00:00+00:00,PT60M
24,790,2023-01-19T08:00:00+00:00,PT60M
25,817,2023-01-19T09:00:00+00:00,PT60M
26,863,2023-01-19T10:00:00+00:00,PT60M
27,948,2023-01-19T11:00:00+00:00,PT60M
27,759,2023-01-19T12:00:00+00:00,PT60M
27,701,2023-01-19T13:00:00+00:00,PT60M
27,450,2023-01-19T14:00:00+00:00,PT60M
27,209,2023-01-19T15:00:00+00:00,PT60M
26,58,2023-01-19T16:00:00+00:00,PT60M
24,22,2023-01-19T17:00:00+00:00,PT60M
22,0,2023-01-19T18:00:00+00:00,PT60M
21,0,2023-01-19T19:00:00+00:00,PT60M
20,0,2023-01-19T20:00:00+00:00,PT60M
20,0,2023-01-19T21:00:00+00:00,PT60M
19,0,2023-01-19T22:00:00+00:00,PT60M
18,0,2023-01-19T23:00:00+00:00,PT60M
18,0,2023-01-20T00:00:00+00:00,PT60M
18,0,2023-01-20T01:00:00+00:00,PT60M
18,0,2023-01-20T02:00:00+00:00,PT60M
18,0,2023-01-20T03:00:00+00:00,PT60M
18,6,2023-01-20T04:00:00+00:00,PT60M
19,97,2023-01-20T05:00:00+00:00,PT60M
21,236,2023-01-20T06:00:00+00:00,PT60M
22,528,2023-01-20T07:00:00+00:00,PT60M
24,682,2023-01-20T08:00:00+00:00,PT60M
24,801,2023-01-20T09:00:00+00:00,PT60M
26,770,2023-01-20T10:00:00+00:00,PT60M
27,635,2023-01-20T11:00:00+00:00,PT60M
28,588,2023-01-20T12:00:00+00:00,PT60M
28,821,2023-01-20T13:00:00+00:00,PT60M
28,609,2023-01-20T14:00:00+00:00,PT60M
28,261,2023-01-20T15:00:00+00:00,PT60M
27,39,2023-01-20T16:00:00+00:00,PT60M
25,10,2023-01-20T17:00:00+00:00,PT60M
23,0,2023-01-20T18:00:00+00:00,PT60M
22,0,2023-01-20T19:00:00+00:00,PT60M
21,0,2023-01-20T20:00:00+00:00,PT60M
20,0,2023-01-20T21:00:00+00:00,PT60M
20,0,2023-01-20T22:00:00+00:00,PT60M
19,0,2023-01-20T23:00:00+00:00,PT60M
18,0,2023-01-21T00:00:00+00:00,PT60M
18,0,2023-01-21T01:00:00+00:00,PT60M
18,0,2023-01-21T02:00:00+00:00,PT60M
17,0,2023-01-21T03:00:00+00:00,PT60M
17,8,2023-01-21T04:00:00+00:00,PT60M
18,139,2023-01-21T05:00:00+00:00,PT60M
21,326,2023-01-21T06:00:00+00:00,PT60M
23,492,2023-01-21T07:00:00+00:00,PT60M
25,791,2023-01-21T08:00:00+00:00,PT60M
26,996,2023-01-21T09:00:00+00:00,PT60M
28,1100,2023-01-21T10:00:00+00:00,PT60M
29,1130,2023-01-21T11:00:00+00:00,PT60M
30,1083,2023-01-21T12:00:00+00:00,PT60M
31,966,2023-01-21T13:00:00+00:00,PT60M
31,787,2023-01-21T14:00:00+00:00,PT60M
31,562,2023-01-21T15:00:00+00:00,PT60M
29,315,2023-01-21T16:00:00+00:00,PT60M
26,85,2023-01-21T17:00:00+00:00,PT60M
